registro,agro3_clean,agro3_noise,agro3_filtered
0,65.39555447652455,64.17778749794968,63.09468883997275
1,66.14323734489794,67.35485981216812,63.38816698392045
2,66.34275486038045,73.22084685823683,63.681472209161385
3,66.82601450776536,67.49450476114306,63.974283147041064
4,65.70335306063646,69.86929861971177,64.26628584742872
5,67.23986557497902,71.14739300240835,64.55717483228587
6,65.09682632078864,66.94294528978908,64.84665408940151
7,66.71371416759654,72.14765868488703,65.13443800098497
8,66.97745897795446,59.85062761229011,65.42025220310842
9,67.92706470335045,61.9040508321504,65.70383437315118
10,67.66391425856591,73.330898083921,65.98493494327694
11,66.82835028976324,64.70490044654561,66.26331773843212
12,67.28673960087127,67.65333341631894,66.53876053744952
13,68.27910333750638,74.02070889765449,66.81105555586636
14,68.24825851828855,68.90307808767531,67.08000984926294
15,68.06156651844351,73.60320240458918,67.34544563634933
16,68.29347053996487,67.02010891974764,67.60720054166073
17,69.28020932164351,71.3002403565136,67.86512775853454
18,68.59306488729322,68.78373870559348,68.1190961339172
19,69.05604794388317,73.94507838159146,68.36899017733238
20,70.79861747217842,69.94056314876559,68.61470999698528
21,68.44470576886194,65.2819510775264,68.85617116655317
22,68.30627098686243,66.77255835662865,69.09330452677646
23,70.31199033499952,68.92379208731114,69.32605592642192
24,69.44896737616575,67.32642282892301,69.55438590736023
25,69.86139840791131,67.6025013086998,69.77826933833695
26,69.69709354911845,73.37613974479957,69.99769500165468
27,70.22135644028552,74.83877040180631,70.21266513660753
28,71.68106598367343,72.96652301934118,70.4231949432636
29,71.28199533094943,69.15886204330488,70.6293120502163
30,71.48200545394417,69.56648246952382,70.83105595027209
31,70.0445453132379,63.2457408463519,71.02847740853402
32,70.38704780318658,71.63235381914845,71.22163784765702
33,69.36193172273352,67.12269009778163,71.41060871495932
34,70.93861611567318,75.76358072769895,71.59547083558606
35,72.33021976235523,67.8102352570615,71.77631375525516
36,72.17716831985902,70.23435081111323,71.9532350755372
37,71.81444259403149,71.5010162045681,72.12633978424104
38,72.10749025615664,73.63336585259492,72.29573958321684
39,71.79386623391555,77.7072282944211,72.46155221563366
40,72.57177475890815,68.07698921727935,72.62390079458028
41,73.1162722820587,72.12596588120168,72.78291313480236
42,71.60009201166652,66.91593483934926,72.93872108952029
43,73.09134763148937,75.68225753078964,73.09145989435608
44,73.68399130446612,71.56228592875459,73.24126752022636
45,72.8897055108434,72.55088648289536,73.38828403665636
46,73.81903621977979,73.25404045064799,73.53265098654046
47,75.44634039873944,75.82774222550574,73.6745107730674
48,73.54983047867555,73.03728972368162,73.81400605934864
49,74.04421047139036,70.85725492134026,73.9512791811992
50,73.39750301990473,73.67596082576375,74.08647157349631
51,74.18547403467241,71.58001615522872,74.2197232105081
52,74.52443694116405,77.19606883456507,74.35117206043878
53,74.48146398601926,74.66977092100812,74.4809535541731
54,73.7732798325873,70.36309635717976,74.60920006793933
55,74.7726624559521,82.66681453314354,74.73604041945744
56,75.79202535558188,81.23278373550659,74.86159937711629
57,75.22193449708993,83.23611854740716,74.98599718185262
58,75.71979008476467,74.59515047281147,75.10934908184196
59,75.01809472621979,72.27882324089141,75.23176488099006
60,75.84561801390802,78.4908012002808,75.35334850335767
61,75.65192708037566,79.28607509083113,75.47419757664076
62,74.92560724773874,75.57083990684751,75.59440303841511
63,75.94805455046328,69.04813608580528,75.71404876916786
64,75.16377379717699,71.9459138915452,75.83321125639364
65,75.54683010919626,76.93257511149915,75.95195929417149
66,76.25326098072765,74.08800225554705,76.07035372244786
67,76.45867394349801,71.98166725791312,76.1884472097286
68,75.54698593552129,74.70191826843859,76.30628408226558
69,77.24504543492357,66.5966112514942,76.42390020226908
70,77.03441475564607,75.05567271904158,76.54132289709932
71,76.26639096529247,74.86910538376868,76.65857094063517
72,75.80800498420976,76.82605531648865,76.77565458706115
73,76.9064050962772,78.70251143724093,76.8925756563229
74,76.81809978559279,78.05692519298422,77.00932766972313
75,77.33076665828801,80.27359367577297,77.12589603371556
76,77.11756835515722,76.56662463074395,77.24225826989404
77,76.085573591525,71.31148674299392,77.35838428935787
78,77.33684369362976,77.48179434948459,77.47423670989042
79,77.51148430838512,74.6399879227458,77.58977121450042
80,78.2845378337675,73.83417385885336,77.70493694969224
81,77.46660750188003,79.36568529869791,77.81967696137953
82,79.24359498197397,74.60957421949085,77.93392866579072
83,76.84234171171049,79.07331588912703,78.04762435216587
84,79.20905547437994,74.9709896406131,78.16069171358195
85,78.24373273144911,77.29079109414118,78.27305440188057
86,79.1107419005972,77.26084110213489,78.38463260236945
87,78.67191786304474,82.40074446059309,78.49534362366744
88,79.51950717596783,81.46883245277138,78.60510249777515
89,78.55515295776543,75.8517665314068,78.71382258528473
90,78.16047616401373,77.64359027639068,78.82141618069595
91,80.02577335724233,84.3860254500793,78.92779511302935
92,79.05258936327502,83.94944547245588,79.03287133714767
93,79.38640770036497,74.89694029353247,79.13655751136965
94,80.19360961734144,84.51051612332158,79.23876755722846
95,78.70354686559955,82.76938599702815,79.33941719766956
96,79.93804749702666,80.52386909274696,79.43842447049245
97,79.20221241053684,78.90453445910576,79.53571021433346
98,79.61519219745044,77.80985476238963,79.63119852498917
99,79.84950589708258,75.73854961106868,79.72481718034156
100,78.83857393274609,79.95025094304593,79.8164980324022
101,79.43197166898821,78.87421393382051,79.90617736493235
102,81.0099378840016,82.43640477648417,79.99379621478688
103,80.77014213725505,82.27496502880568,80.07930065476233
104,80.19016566199174,88.44846498113091,80.1626420355085
105,80.4869800340341,84.41190355453818,80.24377718413615
106,80.19217100592319,81.98596669658912,80.32266855760383
107,81.42765503379374,74.41877595058774,80.39928434977207
108,80.41625652163522,81.70296619326727,80.47359855196156
109,80.79579235804178,85.98536688966657,80.54559096759073
110,81.51125875938413,80.11089965447148,80.6152471817959
111,80.23894002053838,87.42400954536076,80.68255848701658
112,81.94683511344257,83.73061992219925,80.74752176570614
113,79.85545527929148,80.82154664526695,80.81013933178863
114,82.13712918054706,78.88756885911208,80.87041873316447
115,80.80360707644762,85.73549415251466,80.92837251828693
116,80.96118321518392,78.23686687137081,80.98401797040022
117,79.87314296343894,78.02209123380959,81.03737681336885
118,80.94135040263293,74.77173052875067,81.08847489318147
119,80.59387126956427,83.53310690895714,81.13734183918294
120,80.95687884189348,82.88432287209343,81.18401070880337
121,81.34506930031276,81.37853058273215,81.22851761905852
122,82.16905114812423,84.5969314521676,81.27090136765374
123,81.6997780078185,83.81851795821382,81.31120304637207
124,81.82413097387256,80.62529687340893,81.34946564958929
125,80.89463297420808,78.32049750706051,81.38573368110744
126,81.09614020968392,75.470332319615,81.42005276287108
127,83.02137428512437,82.43862542111519,81.45246924932904
128,81.29564695689143,77.00513470960095,81.4830298510626
129,83.01607176883117,83.54959609330213,81.51178127082784
130,81.73143421811831,81.20529191013341,81.53876985455177
131,81.94643794180017,80.62784377255196,81.56404125929801
132,82.73575526182044,86.16815429632817,81.58764013988637
133,82.91688737171033,79.68177675787233,81.6096098557168
134,81.98745266410714,75.92637735823165,81.62999219936825
135,81.8301020023475,81.09085027632979,81.64882714863353
136,82.0979667241925,79.67107592319114,81.66615264364776
137,82.40730489371448,82.80603153340378,81.68200439052495
138,82.82665211230785,79.83020893878363,81.69641569247364
139,82.23608345842811,83.61534546347026,81.70941730891506
140,82.69510106814998,79.50421424243589,81.72103734282547
141,83.43586277262918,80.20948267696255,81.73130115636505
142,82.58142747151233,84.60323123356412,81.74023131476288
143,82.55653445489064,82.40417961738339,81.74784755833267
144,81.29737113171758,77.40398769571843,81.75416680240082
145,80.53969118259504,77.41789402237164,81.7592031648795
146,82.67201911203207,81.44924955277965,81.76296802116623
147,82.35109131970745,78.6023666396183,81.76547008583961
148,82.0727892130983,81.12841042177493,81.76671552016387
149,82.61763208786968,81.78867512600974,81.7667080638267
150,82.41725584559047,79.40943543570278,81.76544918878625
151,83.25971455527007,85.39173223411711,81.76293827268029
152,82.5396272500574,79.19294244036655,81.75917278895712
153,81.96393503480105,86.04951986464651,81.75414851072075
154,83.18567907941326,82.46908732816664,81.74785972524353
