frequency_cycles_per_record,psd_clean,psd_noise,psd_excess
0.0,6526.375261919441,6800.757136626015,274.3818747065743
0.00390625,26310.821642555897,27006.09538012358,695.2737375676843
0.0078125,4805.394230499178,5167.198721532845,361.80449103366755
0.01171875,15.19629242565007,52.89070766519358,37.69441523954351
0.015625,1.358282268320753,58.93010753962238,57.57182527130163
0.01953125,0.26200280531166015,42.69398704924176,42.4319842439301
0.0234375,0.07429987117360684,39.146524208676745,39.07222433750314
0.02734375,0.02664285290197629,46.05098807802803,46.02434522512605
0.03125,0.011197544267266686,62.087878698674004,62.076681154406735
0.03515625,0.005279449260323374,79.39001076242336,79.38473131316303
0.0390625,0.002716223597820727,78.51986897719907,78.51715275360125
0.04296875,0.001496805105264417,44.9709360970084,44.969439291903136
0.046875,0.0008719098635131626,48.40707193259468,48.40620002273117
0.05078125,0.000531727070191853,54.21632419917722,54.21579247210703
0.0546875,0.0003370094595266223,37.67237845261384,37.67204144315431
0.05859375,0.00022073379678461138,28.191222713587603,28.19100197979082
0.0625,0.00014873681001939144,37.67368766027682,37.6735389234668
0.06640625,0.00010273505692327505,71.53204975544905,71.53194702039212
0.0703125,7.252416232691378e-05,60.53500558974401,60.53493306558168
0.07421875,5.219678301257197e-05,38.28362056752484,38.28356837074183
0.078125,3.822142590453675e-05,40.3741981345094,40.374159913083496
0.08203125,2.8425885363483787e-05,40.415234410963244,40.41520598507788
0.0859375,2.1439610415701193e-05,48.7611546178088,48.761133178198385
0.08984375,1.6377849562305548e-05,62.09210959298107,62.092093215131506
0.09375,1.265752872391178e-05,63.76569408012277,63.76568142259405
0.09765625,9.88710420618634e-06,52.89225480532127,52.89224491821707
0.1015625,7.799104256963083e-06,74.98905087895197,74.98904307984772
0.10546875,6.207921802161374e-06,82.02654127183642,82.02653506391462
0.109375,4.982884553202484e-06,66.09396406922265,66.0939590863381
0.11328125,4.0307611303364955e-06,71.34915515611318,71.34915112535205
0.1171875,3.2842070836728976e-06,57.494445000972156,57.494441716765074
0.12109375,2.6940161570747515e-06,46.016632712560295,46.016630018544134
0.125,2.223849165577184e-06,33.862951181083666,33.8629489572345
0.12890625,1.8466005506497468e-06,32.63510028953131,32.63509844293076
0.1328125,1.5418627227239992e-06,53.554498433823845,53.55449689196112
0.13671875,1.2941359815622075e-06,83.98116165123767,83.98116035710169
0.140625,1.0915510557736948e-06,60.88330989135409,60.88330879980303
0.14453125,9.249481618732509e-07,43.09799065214246,43.097989727194296
0.1484375,7.872067122607878e-07,72.69588679957585,72.69588601236913
0.15234375,6.727530413137847e-07,72.09986519030883,72.09986451755579
0.15625,5.771957834889185e-07,37.80593024997457,37.80592967277879
0.16015625,4.970536206348287e-07,64.71334602857868,64.71334553152506
0.1640625,4.2955044422750564e-07,62.83185675973483,62.83185633018439
0.16796875,3.724601208515746e-07,48.1194561902097,48.11945581774958
0.171875,3.2398803826349893e-07,46.21701758148488,46.21701725749684
0.17578125,2.8268012526264773e-07,37.5116499582927,37.511649675612574
0.1796875,2.473525365621348e-07,46.45166003611377,46.45165978876123
0.18359375,2.1703698574511668e-07,58.56085081883134,58.56085060179436
0.1875,1.909380023861682e-07,37.071626275721314,37.07162608478331
0.19140625,1.6839933090031797e-07,33.47801507865375,33.478014910254416
0.1953125,1.4887737890657083e-07,72.15412886999368,72.15412872111631
0.19921875,1.3192013170422174e-07,74.95779053209851,74.95779040017838
0.203125,1.1715032777568782e-07,73.45963573346354,73.45963561631322
0.20703125,1.0425197297500837e-07,73.43789916807734,73.43789906382537
0.2109375,9.295948331651956e-08,52.01704801587807,52.017047922918586
0.21484375,8.304890719882756e-08,47.31911125081688,47.31911116776797
0.21875,7.433080012617818e-08,49.51618058658217,49.516180512251374
0.22265625,6.664441803399508e-08,50.94915622925574,50.949156162611324
0.2265625,5.98529676652371e-08,68.74691021272713,68.74691015287416
0.23046875,5.383970735609e-08,79.9010483716668,79.90104831782709
0.234375,4.850473481646665e-08,61.65109627993292,61.651096231428184
0.23828125,4.3762331962699354e-08,56.74496663068716,56.744966586924825
0.2421875,3.9538763068537884e-08,59.33891205258957,59.33891201305081
0.24609375,3.5770443070960074e-08,82.43181609886801,82.43181606309757
0.25,3.2402409188203994e-08,78.11611161238271,78.1161115799803
0.25390625,2.9387041867859833e-08,46.2163215266399,46.21632149725286
0.2578125,2.668299137161705e-08,52.67080733547274,52.67080730878975
0.26171875,2.425427440822331e-08,60.604374680246416,60.60437465599214
0.265625,2.206951188798436e-08,47.75583393011589,47.75583390804638
0.26953125,2.0101284063938802e-08,37.627255240047035,37.62725521994575
0.2734375,1.8325583634336143e-08,38.97911009003383,38.97911007170824
0.27734375,1.672135077263226e-08,48.40156795122359,48.40156793450224
0.28125,1.5270076894687403e-08,38.08424240573633,38.08424239046626
0.28515625,1.3955466232733044e-08,60.83905017945604,60.83905016550057
0.2890625,1.2763146105112512e-08,70.73415644740946,70.73415643464631
0.29296875,1.1680418391905062e-08,105.46928512329681,105.4692851116164
0.296875,1.0696045850505782e-08,102.78010341106412,102.78010340036808
0.30078125,9.80006804956836e-09,73.72097888819758,73.72097887839752
0.3046875,8.983642489442604e-09,74.85533610675566,74.85533609777201
0.30859375,8.238907195809005e-09,51.99517522080919,51.99517521257028
0.3125,7.558861645915294e-09,64.5590941936503,64.55909418609143
0.31640625,6.937263434373408e-09,74.29998134260968,74.29998133567241
0.3203125,6.368538378969587e-09,64.5163780915375,64.51637808516897
0.32421875,5.847702234810837e-09,71.12715745189527,71.12715744604758
0.328125,5.370292370890191e-09,82.76218933806412,82.76218933269382
0.33203125,4.9323080541667764e-09,54.11386942995809,54.11386942502578
0.3359375,4.530158167164578e-09,39.438948841219336,39.43894883668918
0.33984375,4.1606153718796094e-09,31.37069029677979,31.370690292619177
0.34375,3.820775852058417e-09,46.64269270180741,46.64269269798664
0.34765625,3.5080239090745523e-09,83.17043754364958,83.17043754014156
0.3515625,3.220000775295828e-09,76.38801968950554,76.38801968628555
0.35546875,2.9545771206490964e-09,67.14565756557494,67.14565756262036
0.359375,2.7098287452214284e-09,68.45848910052392,68.4584890978141
0.36328125,2.484015114041438e-09,48.90109522411923,48.90109522163522
0.3671875,2.275560314699768e-09,62.87294560914537,62.872945606869806
0.37109375,2.08303620469455e-09,57.550237358351616,57.55023735626858
0.375,1.9051474204240693e-09,42.280130037082394,42.280130035177244
0.37890625,1.740718082222846e-09,60.93270547028628,60.932705468545564
0.3828125,1.588679942754467e-09,51.08498590179313,51.08498590020445
0.38671875,1.4480618335099254e-09,42.19018999362378,42.19018999217572
0.390625,1.317980270175653e-09,28.26688833539297,28.26688833407499
0.39453125,1.1976310388635796e-09,35.438531052349624,35.43853105115199
0.3984375,1.0862817094154743e-09,38.78266076951784,38.782660768431555
0.40234375,9.83264910310115e-10,58.35467087461762,58.354670873634355
0.40625,8.879723369365349e-10,66.43634017049742,66.43634016960945
0.41015625,7.998493649054652e-10,32.00082322606473,32.00082322526488
0.4140625,7.183902323862289e-10,38.04203586263262,38.042035861914236
0.41796875,6.431337163290895e-10,67.59268537267725,67.59268537203411
0.421875,5.736592562224534e-10,50.28838302269515,50.288383022121494
0.42578125,5.095834672894467e-10,40.856371522444654,40.856371521935074
0.4296875,4.5055702292435174e-10,56.07731353563226,56.0773135351817
0.43359375,3.9626184343606785e-10,62.70592018641246,62.7059201860162
0.4375,3.4640858078116464e-10,54.00791233094895,54.00791233060254
0.44140625,3.007343593008629e-10,52.75523921819775,52.755239217897014
0.4453125,2.5900075016655133e-10,61.26858557333266,61.26858557307366
0.44921875,2.2099195754688893e-10,84.7821697962271,84.7821697960061
0.453125,1.8651319741339213e-10,60.53091433998767,60.53091433980116
