series,snr_db,error_mean,error_std
Agro_1,11.598291152624888,0.03277689546626741,2.7667866736649813
Agro_2,6.198823980119426,-0.13836490639390298,4.1199529823601075
Agro_3,10.77950911052913,0.03524467394394002,3.3412480201454793
Agro_4,8.003736309397764,1.920602325061821,76.77864761955246
Agro_5,7.825074255964099,0.0014913888549560714,0.15404342021161016
Agro_6,8.491332208365998,0.0020656167544097315,0.223188730117698
Agro_7,5.004506327971081,-0.03213545875255089,4.470318408924717
Agro_8,8.750397907121531,0.0004828570580694631,0.03623918233101242
Agro_9,9.229103212586926,0.00039428566842980697,0.017272310888284285
Agro_10,9.934182920620993,0.004653692488583314,0.48507417455399193
Ener_1,7.824794450004218,0.11274708027406928,5.864347686305595
Ener_2,10.645179199614038,0.09886926412561368,6.427301935861336
Ener_3,7.594555170120181,-0.01621061188176897,1.5073958712439945
Ener_4,8.534146151048095,0.0179995167342676,5.296979030777966
Ener_5,11.89877579629867,0.025856717351119822,1.6447710971081022
Ener_6,9.991808088093528,-0.1238023996869477,18.165796407985823
Ener_7,9.063423702065117,-0.03964226349984179,4.07965175029147
Ener_8,11.877875746366504,-0.00011634682260615037,0.005125241123674657
Ener_9,10.90579113000201,0.003330871571536612,0.14234959995561539
Ener_10,6.148023588020099,-0.00012557340170109827,0.00496762611544895
