node,role,degree_centrality,directed_betweenness,undirected_betweenness_sensitivity,traffic_weight
100,Source,0.5797101449275363,0.0,0.023479642785693228,106
101,Source,0.6376811594202899,0.0,0.030241711742387274,89
102,Source,0.5652173913043478,0.0,0.023377594129567456,86
103,Source,0.6811594202898551,0.0,0.03456373029583566,114
104,Source,0.6376811594202899,0.0,0.029217416891559368,101
105,Source,0.6666666666666666,0.0,0.03334111498638863,112
106,Source,0.6231884057971014,0.0,0.02905087166469288,96
107,Source,0.5942028985507246,0.0,0.02547562761943683,87
108,Source,0.5942028985507246,0.0,0.025989857760857674,97
109,Source,0.5797101449275363,0.0,0.024775169111378285,95
110,Source,0.6521739130434783,0.0,0.030797373288454506,87
111,Source,0.6231884057971014,0.0,0.02842476662124989,106
112,Source,0.6666666666666666,0.0,0.032847420595498264,108
113,Source,0.6231884057971014,0.0,0.02796065118693306,101
114,Source,0.6376811594202899,0.0,0.030580503369545008,103
115,Source,0.6376811594202899,0.0,0.029618277427874658,101
116,Source,0.6086956521739131,0.0,0.027441814567392572,108
117,Source,0.5942028985507246,0.0,0.02570361418475711,94
118,Source,0.6231884057971014,0.0,0.029082617206541247,89
119,Source,0.7101449275362319,0.0,0.03774036949149268,120
200,Target,0.2608695652173913,0.0,0.0029919301181678703,29
201,Target,0.2318840579710145,0.0,0.0022805414076055726,35
202,Target,0.2898550724637681,0.0,0.003755849901002291,41
203,Target,0.21739130434782608,0.0,0.0021136256733754978,34
204,Target,0.2608695652173913,0.0,0.0029548029538941285,35
205,Target,0.2608695652173913,0.0,0.0029810961619063463,32
206,Target,0.2463768115942029,0.0,0.0026796718418081534,46
207,Target,0.2608695652173913,0.0,0.0029927703164419703,48
208,Target,0.2318840579710145,0.0,0.002248595115931327,34
209,Target,0.2753623188405797,0.0,0.0033575210598837386,49
210,Target,0.2608695652173913,0.0,0.0029675937963391024,42
211,Target,0.2753623188405797,0.0,0.0034187754441391974,49
212,Target,0.2608695652173913,0.0,0.0029828852192103827,41
213,Target,0.2318840579710145,0.0,0.0024192129914916483,30
214,Target,0.2318840579710145,0.0,0.002254491476950263,27
215,Target,0.2318840579710145,0.0,0.002312768528639884,41
216,Target,0.2463768115942029,0.0,0.0025909355738440807,39
217,Target,0.2463768115942029,0.0,0.0026346856475362697,34
218,Target,0.2753623188405797,0.0,0.0033722672893658125,46
219,Target,0.2463768115942029,0.0,0.0026920643960964287,38
220,Target,0.2608695652173913,0.0,0.002956681743676954,47
221,Target,0.2608695652173913,0.0,0.0030266617569167033,42
222,Target,0.2753623188405797,0.0,0.003422635690596516,39
223,Target,0.2318840579710145,0.0,0.0022724979936451237,40
224,Target,0.2318840579710145,0.0,0.0022606152701890644,29
225,Target,0.2753623188405797,0.0,0.003349719690844512,44
226,Target,0.2753623188405797,0.0,0.00330468868477594,45
227,Target,0.2753623188405797,0.0,0.0033231481803178884,39
228,Target,0.2608695652173913,0.0,0.002933877734106207,46
229,Target,0.2463768115942029,0.0,0.0026334197180161727,34
230,Target,0.2608695652173913,0.0,0.0029456956657192518,41
231,Target,0.2318840579710145,0.0,0.002356523131311344,41
232,Target,0.2318840579710145,0.0,0.0022801774003295807,41
233,Target,0.2608695652173913,0.0,0.003019018269346999,54
234,Target,0.2318840579710145,0.0,0.0023381833019835326,32
235,Target,0.21739130434782608,0.0,0.0020051581352471997,37
236,Target,0.2463768115942029,0.0,0.0026913792829737324,36
237,Target,0.2463768115942029,0.0,0.0026687956136479426,45
238,Target,0.2753623188405797,0.0,0.003386843587828154,47
239,Target,0.2608695652173913,0.0,0.002959102876510138,46
240,Target,0.2753623188405797,0.0,0.003434422511725096,41
241,Target,0.2318840579710145,0.0,0.0023438030682788997,35
242,Target,0.2608695652173913,0.0,0.003059663388945414,42
243,Target,0.2463768115942029,0.0,0.0026611966339782018,48
244,Target,0.2608695652173913,0.0,0.0029701263011207802,47
245,Target,0.2753623188405797,0.0,0.00330468868477594,41
246,Target,0.2608695652173913,0.0,0.0030422334072994963,38
247,Target,0.18840579710144928,0.0,0.0014923079061941002,44
248,Target,0.21739130434782608,0.0,0.0020525508672157443,38
249,Target,0.21739130434782608,0.0,0.0020357729281543467,31
